text,label
" Algunas de las voces extremistas más conocidas de EE.UU., cuentas asociadas con al movimiento de la conocida como alt-right o ligadas a grupos antisemitas o xenófobos , han sido eliminadas de un plumazo de la redes sociales Facebook e Instagram. Se trat",True
" Después de casi dos años y medio de luchas políticas y judiciales, Donald Trump ha presentado hoy su proyecto de inmigración para Estados Unidos . Es un proyecto elaborado por el yerno y asesor de Donald Trump, Jared Kushner, que sólo concreta una cosa:",True
 Dos periodistas birmanos de la agencia Reuters fueron liberados este martes al recibir un perdón del presidente de su país tras pasar año y medio en prisión por revelar una matanza del Ejército contra la minoría musulmana rohingya. Wa Lone y Kyaw Soe Oo,True
 El Cuerpo Nacional de Policía ha detenido a cuatro personas acusadas de formar parte de un grupo criminal dedicado al tráfico de seres humanos en la frontera francoespañola de Irún (Gipuzkoa). Esta célula captaba extranjeros llegados en pateras y les of,True
 El desfile de la firma en Roma se convierte en una oda a la libertad de las mujeres para decidir sobre sus propios cuerpos. Los Museos Capitolinos de Roma se transformaron la noche del martes en escenario sobre el que presentar la colección crucero 202,True
 El miedo a la pérdida de identidad y la aversión a los inmigrantes ha sido el combustible que ha hecho crecer a la extrema derecha en toda Europa. Sus líderes quieren convertirla en una fortaleza inexpugnable frente a quienes ahora la asedian con frágil,True
" El Ministerio de Exteriores de Rusia ha convocado este martes al embajador de España en Moscú, Fernando Valderrama, para informarle de su malestar por unas declaraciones hostiles sobre Rusia del ministro de Exteriores español, Josep Borrell. El Gobierno",True
" El nuevo plan migratorio del presidente parece muerto antes incluso de haber nacido. El cerebro que ha pasado meses trabajando en el que debería ser el mensaje central de la campaña de reelección de Trump en 2020 ha sido su yerno Jared Kushner, asesorad",True
" El secretario general de Podemos , Lander Martínez, ha denunciado este sábado ""la Euskadi de dos velocidades "" que está dejando las políticas del PNV , a la vez que ha reivindicado el voto de izquierdas, feminista y ecologista para Elkarrekin Podemos. E",True
" Ernest Maragall, el candidato que podría arrebatar la alcadía a Ada Colau (tan sólo le separaría una décima, según el barómetro del CIS), se ha lanzado directamente a conquistar el voto inmigrante: «Barcelona somos todos» y la hipotética república catal",True
" España es líder mundial en donación y trasplante de órganos, almacenamiento de energía en las nuevas tecnologías renovables, exportaciones de frutas y hortalizas, gestión de infraestructuras, banderas azules, bares... y también en masturbación . Así lo ",True
" Existe un lugar en Madrid donde las africanas tienen su propio lugar de encuentro. A él acuden mujeres de varios países con un objetivo común: ""empoderarse y saltar las barreras"" que existen en una sociedad que todavía las mira ""con extrañeza"", cuenta N",True
